activity_id,name,start_date,distance_mi,pace_min_per_mile,avg_hr,max_hr,cadence,elevation
14446662166,Morning Run,2025-05-11T06:39:15Z,9.97,10.27,131.4,169.0,81.0,75.0
14436690227,Morning Walk,2025-05-10T08:19:53Z,5.2,17.68,,,,39.2
14429942364,Afternoon Run,2025-05-09T17:26:55Z,5.0,9.23,142.2,159.0,80.9,50.0
14410120637,Afternoon Run,2025-05-07T16:39:59Z,5.01,9.04,150.3,166.0,81.2,51.0
14389923346,Treadmill Run,2025-05-05T17:55:50Z,5.0,10.74,133.8,151.0,79.3,0
14376802540,Morning Run,2025-05-04T09:24:51Z,7.28,8.91,150.2,170.0,83.4,63.0
14358094249,Afternoon Run,2025-05-02T15:18:36Z,4.27,9.29,139.7,161.0,,47.7
14338389587,Evening Run,2025-04-30T19:08:00Z,4.98,9.22,149.7,169.0,,36.8
14316278300,Afternoon Run,2025-04-28T16:29:55Z,4.87,8.91,136.5,152.0,,45.3
14303242748,Morning Run,2025-04-27T08:46:07Z,7.1,9.09,151.3,172.0,,51.8
14291664516,Morning Walk,2025-04-26T07:19:26Z,5.04,17.14,84.3,98.0,,39.0
14285784520,Afternoon Run,2025-04-25T16:44:43Z,4.31,10.23,144.2,163.0,,31.2
14264582770,Lunch Run,2025-04-23T10:23:57Z,10.27,10.34,140.4,171.0,,61.4
14236091192,Afternoon Run,2025-04-20T13:27:07Z,6.29,10.75,139.4,155.0,,6.7
14224458058,Morning Walk,2025-04-19T08:33:46Z,7.01,17.78,90.7,103.0,,52.9
14214155995,Morning Run,2025-04-18T09:27:53Z,4.4,10.41,135.7,154.0,,30.9
14199000941,Evening Run,2025-04-16T18:23:50Z,4.38,8.19,156.7,169.0,,33.5
14189834567,Evening Workout,2025-04-15T19:08:45Z,0.0,0.0,78.4,112.0,,0
14178930471,Afternoon Run,2025-04-14T16:29:06Z,4.01,11.47,132.8,146.0,,46.4
14165964816,Iceland Marathon  8/23 - Let’s GO!,2025-04-13T07:00:16Z,10.95,9.15,146.6,158.0,,63.4
14149605364,Afternoon Run,2025-04-11T15:10:47Z,10.23,10.49,142.5,159.0,,63.5
14131392748,Afternoon Run,2025-04-09T16:21:59Z,5.12,9.88,144.8,163.0,,8.4
14120510213,Afternoon Run,2025-04-08T14:04:39Z,7.08,9.18,149.6,169.0,,53.8
14090147600,Great run…. Austin Rocks!,2025-04-05T11:14:50Z,10.32,10.12,132.1,148.0,,62.0
14081611559,Afternoon Run,2025-04-04T15:43:44Z,7.14,10.46,150.0,168.0,,53.4
14072220261,Afternoon Walk,2025-04-03T13:52:10Z,5.91,19.84,90.4,119.0,,189.3
14063457786,Evening Run,2025-04-02T17:01:43Z,4.75,10.18,141.4,160.0,,37.7
14043335372,Afternoon Run,2025-03-31T16:56:11Z,6.78,9.61,149.6,175.0,,51.0
14034805698,Afternoon Walk,2025-03-30T17:47:53Z,5.17,18.15,97.0,122.0,,136.9
14022222918,Lunch Run,2025-03-29T10:08:26Z,10.07,9.98,153.6,165.0,,60.9
